score,model,n_classes,n_dim,n_points,noise_std,max_depth
0.9774774774774775,hdt,2,13,2217,0.11000629932569272,6
0.990990990990991,kdt,2,13,2217,0.11000629932569272,6
0.972972972972973,edt,2,13,2217,0.11000629932569272,6
0.821969696969697,hdt,4,11,1320,0.14086600402621807,9
0.8371212121212122,kdt,4,11,1320,0.14086600402621807,9
0.8295454545454546,edt,4,11,1320,0.14086600402621807,9
0.46875,hdt,8,7,957,0.1357344315492212,1
0.4583333333333333,kdt,8,7,957,0.1357344315492212,1
0.40625,edt,8,7,957,0.1357344315492212,1
0.5685279187817259,hdt,7,4,985,0.021689264537530006,1
0.5685279187817259,kdt,7,4,985,0.021689264537530006,1
0.5634517766497462,edt,7,4,985,0.021689264537530006,1
0.9470404984423676,hdt,5,5,1604,0.05581340425677034,6
0.9470404984423676,kdt,5,5,1604,0.05581340425677034,6
0.9532710280373832,edt,5,5,1604,0.05581340425677034,6
0.5685131195335277,hdt,8,4,3429,0.4335125115163146,4
0.5699708454810496,kdt,8,4,3429,0.4335125115163146,4
0.5568513119533528,edt,8,4,3429,0.4335125115163146,4
1.0,hdt,2,6,1266,0.010261710284435066,1
1.0,kdt,2,6,1266,0.010261710284435066,1
1.0,edt,2,6,1266,0.010261710284435066,1
0.8730964467005076,hdt,3,4,2954,0.2078888409858568,1
0.8730964467005076,kdt,3,4,2954,0.2078888409858568,1
0.9035532994923858,edt,3,4,2954,0.2078888409858568,1
0.7934272300469484,hdt,5,8,1065,0.32719214207366326,6
0.8262910798122066,kdt,5,8,1065,0.32719214207366326,6
0.7370892018779343,edt,5,8,1065,0.32719214207366326,6
0.9508474576271186,hdt,6,10,2950,0.057716389837156934,7
0.9457627118644067,kdt,6,10,2950,0.057716389837156934,7
0.9525423728813559,edt,6,10,2950,0.057716389837156934,7
0.6287128712871287,hdt,6,3,3026,0.2509413318994689,4
0.6287128712871287,kdt,6,3,3026,0.2509413318994689,4
0.636963696369637,edt,6,3,3026,0.2509413318994689,4
0.75,hdt,5,10,1496,0.34316552068972545,7
0.7733333333333333,kdt,5,10,1496,0.34316552068972545,7
0.7266666666666667,edt,5,10,1496,0.34316552068972545,7
0.6084507042253521,hdt,9,3,1775,0.1278220280447669,3
0.6084507042253521,kdt,9,3,1775,0.1278220280447669,3
0.6704225352112676,edt,9,3,1775,0.1278220280447669,3
0.7346938775510204,hdt,4,11,1957,0.1681090484755085,3
0.7321428571428571,kdt,4,11,1957,0.1681090484755085,3
0.6989795918367347,edt,4,11,1957,0.1681090484755085,3
0.6680080482897385,hdt,8,5,2481,0.34394130503582987,8
0.6498993963782697,kdt,8,5,2481,0.34394130503582987,8
